ID;Inserted At
68739;2017-05-17 00:00:00
34362;2017-05-17 00:00:00
57774;2017-05-17 00:00:00
77660;2020-05-17 00:00:00
57971;2017-05-17 00:00:00
61479;2017-05-17 00:00:00
72006;2017-05-17 00:00:00
71995;2017-05-17 00:00:00
24587;2014-05-17 00:00:00
268986;2023-10-26 00:00:00
58171;2017-05-17 00:00:00
129443;2020-05-17 00:00:00
65941;2018-09-01 00:00:00
24585;2014-05-17 00:00:00
86761;2020-05-17 00:00:00
57879;2017-05-17 00:00:00
58000;2017-05-17 00:00:00
65951;2018-09-01 00:00:00
73018;2020-05-17 00:00:00
65984;2018-09-01 00:00:00
65975;2018-09-01 00:00:00
66119;2018-09-01 00:00:00
19569;2011-05-17 00:00:00
74698;2020-05-17 00:00:00
77616;2020-05-17 00:00:00
72726;2020-05-17 00:00:00
210085;2023-07-19 00:00:00
19530;2014-05-17 00:00:00
209307;2023-07-18 00:00:00
59321;2017-05-17 00:00:00
77899;2020-05-17 00:00:00
57766;2017-05-17 00:00:00
83750;2020-05-17 00:00:00
210091;2023-07-19 00:00:00
23128;2014-05-17 00:00:00
83469;2020-05-17 00:00:00
85278;2020-05-17 00:00:00
25673;2014-05-17 00:00:00
28160;2011-05-17 00:00:00
72722;2020-05-17 00:00:00
27620;2011-05-17 00:00:00
86751;2020-05-17 00:00:00
57807;2017-05-17 00:00:00
23145;2014-05-17 00:00:00
23146;2014-05-17 00:00:00
23147;2014-05-17 00:00:00
28175;2011-05-17 00:00:00
78172;2022-04-01 00:00:00
83714;2020-05-17 00:00:00
133239;2020-05-17 00:00:00
20078;2014-05-17 00:00:00
20079;2014-05-17 00:00:00
209877;2023-07-13 00:00:00
60882;2017-05-17 00:00:00
271805;2023-11-14 00:00:00
83717;2020-05-17 00:00:00
83807;2022-04-01 00:00:00
210377;2023-08-31 00:00:00
57250;2017-05-17 00:00:00
73011;2020-05-17 00:00:00
25245;2014-05-17 00:00:00
57712;2017-05-17 00:00:00
58567;2017-05-17 00:00:00
58281;2017-05-17 00:00:00
137128;2020-05-17 00:00:00
23136;2014-05-17 00:00:00
209980;2023-07-17 00:00:00
77897;2020-05-17 00:00:00
57708;2017-05-17 00:00:00
72619;2017-05-17 00:00:00
77901;2020-05-17 00:00:00
77636;2020-05-17 00:00:00
210069;2023-07-19 00:00:00
85183;2022-04-01 00:00:00
85192;2022-04-01 00:00:00
210217;2023-07-28 00:00:00
209512;1999-01-01 00:00:00
209304;2020-05-17 00:00:00
58296;2020-05-17 00:00:00
77852;2020-05-17 00:00:00
77865;2020-05-17 00:00:00
209552;2020-05-17 00:00:00
59446;2017-05-17 00:00:00
19579;2014-05-17 00:00:00
67086;2017-05-17 00:00:00
209551;2023-07-10 00:00:00
86958;2020-05-17 00:00:00
86955;2020-05-17 00:00:00
86957;2020-05-17 00:00:00
86956;2020-05-17 00:00:00
57865;2017-05-17 00:00:00
188188;2020-05-17 00:00:00
73093;2020-05-17 00:00:00
34459;2017-05-17 00:00:00
83722;2020-05-17 00:00:00
83716;2020-05-17 00:00:00
83718;2020-05-17 00:00:00
34307;2017-05-17 00:00:00
83715;2020-05-17 00:00:00
83719;2020-05-17 00:00:00
77848;2020-05-17 00:00:00
77850;2020-05-17 00:00:00
83680;2020-05-17 00:00:00
83674;2020-05-17 00:00:00
25246;2014-05-17 00:00:00
25247;2014-05-17 00:00:00
81102;2020-05-17 00:00:00
84305;2022-04-01 00:00:00
209546;2023-07-10 00:00:00
84652;2020-05-17 00:00:00
83701;2020-05-17 00:00:00
84323;2022-04-01 00:00:00
24599;2014-05-17 00:00:00
83670;2020-05-17 00:00:00
82590;2020-05-17 00:00:00
19490;2011-05-17 00:00:00
57740;2017-05-17 00:00:00
67842;2017-05-17 00:00:00
209863;2023-07-13 00:00:00
209872;2023-07-13 00:00:00
66062;2017-05-17 00:00:00
209988;2023-07-17 00:00:00
82576;2020-05-17 00:00:00
19481;2011-05-17 00:00:00
20077;2014-05-17 00:00:00
84332;2022-04-01 00:00:00
129533;2020-05-17 00:00:00
82763;2020-05-17 00:00:00
19539;2011-05-17 00:00:00
66057;2017-05-17 00:00:00
72422;2017-05-17 00:00:00
86755;2020-05-17 00:00:00
25938;2014-05-17 00:00:00
83651;2020-05-17 00:00:00
67092;2017-05-17 00:00:00
72727;2020-05-17 00:00:00
68729;2017-05-17 00:00:00
19534;1999-01-01 00:00:00
59456;2017-05-17 00:00:00
65931;2018-09-01 00:00:00
